A1	VAL='종류'
R16	VAL='-'
S16	VAL='-'
C17	VAL='은행AA+'
D17	VAL=2.826
E17	VAL=2.856
F17	VAL=2.867
G17	VAL=2.878
H17	VAL=2.991
I17	VAL=3.064
J17	VAL=3.18
K17	VAL=3.296
L17	VAL=3.375
M17	VAL=3.625
N17	VAL=3.615
O17	VAL=3.958
P17	VAL=4.163
Q17	VAL=4.295
R17	VAL='-'
S17	VAL='-'
A18	VAL='금융채Ⅰ'
B18	VAL='은행채'
C18	VAL='은행AA0'
D18	VAL=2.98
E18	VAL=3.024
F18	VAL=3.02
G18	VAL=3.031
H18	VAL=3.148
I18	VAL=3.296
J18	VAL=3.429
K18	VAL=3.513
L18	VAL=3.589
M18	VAL=3.844
N18	VAL=3.861
O18	VAL=4.286
P18	VAL=4.461
Q18	VAL=4.609
R18	VAL='-'
S18	VAL='-'
C19	VAL='은행AA-'
D19	VAL=3.131
E19	VAL=3.242
F19	VAL=3.263
G19	VAL=3.283
H19	VAL=3.406
I19	VAL=3.558
J19	VAL=3.669
K19	VAL=3.753
L19	VAL=3.823
M19	VAL=4.078
N19	VAL=4.112
O19	VAL=4.549
P19	VAL=4.725
Q19	VAL=4.877
R19	VAL='-'
S19	VAL='-'
C20	VAL='은행A+'
D20	VAL=3.226
E20	VAL=3.327
F20	VAL=3.353
G20	VAL=3.387
H20	VAL=3.513
I20	VAL=3.664
J20	VAL=3.78
K20	VAL=3.863
L20	VAL=3.938
M20	VAL=4.203
N20	VAL=4.265
O20	VAL=4.748
P20	VAL=4.926
Q20	VAL=5.085
R20	VAL='-'
S20	VAL='-'
C21	VAL='은행A0'
D21	VAL=3.315
E21	VAL=3.407
F21	VAL=3.438
G21	VAL=3.463
H21	VAL=3.601
I21	VAL=3.763
J21	VAL=3.874
K21	VAL=3.958
L21	VAL=4.033
M21	VAL=4.314
N21	VAL=4.398
O21	VAL=4.898
P21	VAL=5.068
Q21	VAL=5.225
R21	VAL='-'
S21	VAL='-'
C22	VAL='은행A-'
D22	VAL=3.396
E22	VAL=3.497
F22	VAL=3.528
G22	VAL=3.555
H22	VAL=3.684
I22	VAL=3.853
J22	VAL=3.969
K22	VAL=4.051
L22	VAL=4.134
M22	VAL=4.433
N22	VAL=4.518
O22	VAL=5.04
P22	VAL=5.218
Q22	VAL=5.375
R22	VAL='-'
S22	VAL='-'
C23	VAL='금융AA+'
D23	VAL=3.022
E23	VAL=3.018
F23	VAL=3.021
G23	VAL=3.033
H23	VAL=3.056
I23	VAL=3.198
J23	VAL=3.244
K23	VAL=3.365
L23	VAL=3.475
M23	VAL=3.568
N23	VAL=3.937
O23	VAL=4.769
P23	VAL=5.145
Q23	VAL=5.318
R23	VAL='-'
S23	VAL='-'
C24	VAL='금융AA0'
D24	VAL=3.039
E24	VAL=3.032
F24	VAL=3.034
G24	VAL=3.041
H24	VAL=3.086
I24	VAL=3.224
J24	VAL=3.265
K24	VAL=3.413
L24	VAL=3.546
M24	VAL=3.754
N24	VAL=4.166
O24	VAL=4.949
P24	VAL=5.324
Q24	VAL=5.563
R24	VAL='-'
S24	VAL='-'
C25	VAL='금융AA-'
D25	VAL=3.051
E25	VAL=3.072
F25	VAL=3.091
G25	VAL=3.104
H25	VAL=3.138
I25	VAL=3.286
J25	VAL=3.342
K25	VAL=3.501
L25	VAL=3.655
M25	VAL=3.85
N25	VAL=4.37
O25	VAL=5.159
P25	VAL=5.545
Q25	VAL=5.79
R25	VAL='-'
S25	VAL='-'
C26	VAL='금융A+'
D26	VAL=3.272
E26	VAL=3.438
F26	VAL=3.517
G26	VAL=3.413
H26	VAL=3.494
I26	VAL=3.778
J26	VAL=3.962
K26	VAL=4.266
L26	VAL=4.673
M26	VAL=4.994
N26	VAL=5.257
O26	VAL=5.836
P26	VAL=6.093
Q26	VAL=6.234
R26	VAL='-'
S26	VAL='-'
A27	VAL='금융채Ⅱ'
B27	VAL='기타금융채'
C27	VAL='금융A0'
D27	VAL=3.808
E27	VAL=4.04
F27	VAL=4.163
G27	VAL=4.117
H27	VAL=4.204
I27	VAL=4.533
J27	VAL=4.714
K27	VAL=5.048
L27	VAL=5.359
M27	VAL=5.629
N27	VAL=5.774
O27	VAL=6.28
P27	VAL=6.484
Q27	VAL=6.613
R27	VAL='-'
S27	VAL='-'
C28	VAL='금융A-'
D28	VAL=4.326
E28	VAL=4.675
F28	VAL=4.786
G28	VAL=4.674
H28	VAL=4.752
I28	VAL=5.121
J28	VAL=5.371
K28	VAL=5.711
L28	VAL=6.047
M28	VAL=6.288
N28	VAL=6.432
O28	VAL=6.923
P28	VAL=7.13
Q28	VAL=7.252
R28	VAL='-'
S28	VAL='-'
C29	VAL='금융BBB+'
D29	VAL=4.77
E29	VAL=5.219
F29	VAL=5.48
G29	VAL=5.389
H29	VAL=5.509
I29	VAL=6.069
